name,source
180 Degrees by Matthias Diether,Michelin 2 star
NOA Chef's Hall,Michelin 1 star
FUME,Michelin Bib Gourmand
Fotografiska,Michelin Bib Gourmand
Vesta,Michelin Bib Gourmand
Gianni,Michelin listed
Härg,Michelin listed
Koyo,Michelin listed
5Senses,Tallinn Tastebuds
Mantel & Korsten,Tallinn Tastebuds
Põhjala Tap Room,Tallinn Tastebuds
Restaurant Rataskaevu 16,landmark
Olde Hansa,landmark
Tchaikovsky,landmark
Leib Resto ja Aed,landmark
Von Krahli Aed,landmark
Vegan Restoran V,landmark
F-Hoone,landmark
Cru,landmark
MEKK,landmark
Pull,landmark
Lore Bistroo,landmark
Sfäär,landmark
Frenchy,landmark
Juur,landmark
Moon,landmark
Tuljak,landmark
Kaks Kokka,landmark
Siga,landmark
Ribe,landmark
Salt,landmark
Umami,landmark
Kompressor,landmark
Peppersack,landmark
III Draakon,landmark
Maiasmokk,landmark
Kaerajaan,landmark
Farm,landmark
Rado,landmark
Argo,landmark
Barbarea,landmark
